Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
ONSLOW MEMORIAL HOSPITAL,340042,NC,Chronic_Obstructive_Pulmonary,413,0.9436,19.1,20.3,75,01-JUL-11,30-JUN-14
NORTH CAROLINA BAPTIST HOSPITAL,340047,NC,Chronic_Obstructive_Pulmonary,413,0.9277,20.4,22.0,79,01-JUL-11,30-JUN-14
NORTH CAROLINA BAPTIST HOSPITAL,340047,NC,Hip_Knee_Surgery,407,1.2361,5.9,4.8,28,01-JUL-11,30-JUN-14
NORTH CAROLINA SPECIALTY HOSPITAL,340049,NC,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
NORTH CAROLINA SPECIALTY HOSPITAL,340049,NC,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
SOUTHEASTERN REGIONAL MEDICAL CENTER,340050,NC,Hip_Knee_Surgery,157,1.0745,5.2,4.9,23,01-JUL-11,30-JUN-14
WATAUGA MEDICAL CENTER,340051,NC,Pneumonia,340,1.0936,18.0,16.4,67,01-JUL-11,30-JUN-14
NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,340053,NC,Chronic_Obstructive_Pulmonary,528,0.9634,20.0,20.8,103,01-JUL-11,30-JUN-14
WYCKOFF HEIGHTS MEDICAL CENTER,330221,NY,Pneumonia,175,1.2077,21.2,17.6,50,01-JUL-11,30-JUN-14
SARATOGA HOSPITAL,330222,NY,Pneumonia,372,0.8955,15.1,16.9,49,01-JUL-11,30-JUN-14
WYOMING COUNTY COMMUNITY HOSPITAL,330008,NY,Heart_Faliure,157,0.9934,19.6,19.7,23,01-JUL-11,30-JUN-14
WYOMING COUNTY COMMUNITY HOSPITAL,330008,NY,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",330011,NY,Heart_Faliure,516,1.0416,23.0,22.1,121,01-JUL-11,30-JUN-14
ALBANY MEDICAL CENTER HOSPITAL,330013,NY,Hip_Knee_Surgery,367,0.9021,4.6,5.1,15,01-JUL-11,30-JUN-14
JAMAICA HOSPITAL MEDICAL CENTER,330014,NY,Chronic_Obstructive_Pulmonary,242,1.0721,21.9,20.4,58,01-JUL-11,30-JUN-14
STILLWATER MEDICAL CENTER,370049,OK,Heart_Faliure,198,1.054,21.2,20.1,45,01-JUL-11,30-JUN-14
MEMORIAL HOSPITAL & PHYSICIAN GROUP,370051,OK,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
GRADY MEMORIAL HOSPITAL,370054,OK,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
MUSCOGEE (CREEK) NATION MEDICAL CENTER,370057,OK,Pneumonia,92,1.0851,16.0,14.8,20,01-JUL-11,30-JUN-14
LATIMER COUNTY GENERAL HOSPITAL,370072,OK,Heart_Faliure,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
OKLAHOMA STATE UNIVERSITY MEDICAL CENTER,370078,OK,Acute_Myocardial_infarction,109,1.0687,17.9,16.8,23,01-JUL-11,30-JUN-14
EAST TEXAS MEDICAL CENTER - FAIRFIELD,450658,TX,Chronic_Obstructive_Pulmonary,157,0.9578,18.4,19.3,23,01-JUL-11,30-JUN-14
EAST TEXAS MEDICAL CENTER - FAIRFIELD,450658,TX,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
SIERRA MEDICAL CENTER,450668,TX,Heart_Faliure,324,0.9068,19.3,21.3,57,01-JUL-11,30-JUN-14
"WOMANS HOSPITAL OF TEXAS,THE",450674,TX,Heart_Faliure,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
TEXAS HEALTH HUGULEY HOSPITAL FORT WORTH SOUTH,450677,TX,Acute_Myocardial_infarction,197,0.9642,17.2,17.9,32,01-JUL-11,30-JUN-14
TEXAS HEALTH HUGULEY HOSPITAL FORT WORTH SOUTH,450677,TX,Hip_Knee_Surgery,157,1.0891,6.3,5.8,23,01-JUL-11,30-JUN-14
MEMORIAL HERMANN NORTHEAST,450684,TX,Heart_Faliure,476,1.0616,24.2,22.8,119,01-JUL-11,30-JUN-14
UNIVERSITY MEDICAL CENTER,450686,TX,Pneumonia,334,0.9389,15.3,16.3,47,01-JUL-11,30-JUN-14
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER,450690,TX,Heart_Faliure,140,0.887,20.0,22.5,21,01-JUL-11,30-JUN-14
EL CAMPO MEMORIAL HOSPITAL,450694,TX,Pneumonia,157,0.9382,16.4,17.5,23,01-JUL-11,30-JUN-14
SOUTHWEST GENERAL HOSPITAL,450697,TX,Heart_Faliure,172,1.0619,25.2,23.7,47,01-JUL-11,30-JUN-14
SOUTHWEST GENERAL HOSPITAL,450697,TX,Hip_Knee_Surgery,157,1.107,6.2,5.6,23,01-JUL-11,30-JUN-14
TRUSTPOINT REHAB HOSPITAL OF LUBBOCK,670050,TX,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,670054,TX,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,670054,TX,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
METHODIST STONE OAK HOSPITAL,670055,TX,Hip_Knee_Surgery,259,1.0101,4.6,4.5,12,01-JUL-11,30-JUN-14
SETON MEDICAL CENTER HAYS,670056,TX,Hip_Knee_Surgery,157,1.179,5.2,4.4,23,01-JUL-11,30-JUN-14
BAYLOR SCOTT AND WHITE MEDICAL CENTER SUNNYVALE,670060,TX,Heart_Faliure,255,1.0032,23.1,23.0,59,01-JUL-11,30-JUN-14
BAYLOR SCOTT AND WHITE MEDICAL CENTER SUNNYVALE,670060,TX,Pneumonia,121,0.9713,15.6,16.1,17,01-JUL-11,30-JUN-14
BAYLOR ORTHOPEDIC AND SPINE HOSPITAL AT ARLINGTON,670067,TX,Heart_Faliure,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
TEXAS HEALTH PRESBYTERIAN HOSPITAL FLOWER MOUND,670068,TX,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
TEXAS HEALTH PRESBYTERIAN HOSPITAL FLOWER MOUND,670068,TX,Hip_Knee_Surgery,157,0.9841,4.2,4.2,23,01-JUL-11,30-JUN-14
METHODIST MCKINNEY HOSPITAL,670069,TX,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
TEXAS HEALTH HEART & VASCULAR HOSPITAL ARLINGTON,670071,TX,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
METHODIST HOSPITAL FOR SURGERY,670073,TX,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL AT SHERMA,670076,TX,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL AT SHERMA,670076,TX,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
METHODIST WEST HOUSTON HOSPITAL,670077,TX,Acute_Myocardial_infarction,160,0.9571,16.4,17.2,24,01-JUL-11,30-JUN-14
EASTSIDE MEDICAL CENTER,110192,GA,Chronic_Obstructive_Pulmonary,390,1.0435,20.8,19.9,84,01-JUL-11,30-JUN-14
MEMORIAL HOSPITAL PEMBROKE,100230,FL,Heart_Faliure,141,0.9153,20.7,22.6,24,01-JUL-11,30-JUN-14
TOUCHETTE REGIONAL HOSPITAL INC,140077,IL,Pneumonia,157,0.9925,14.8,14.9,23,01-JUL-11,30-JUN-14
RUSH UNIVERSITY MEDICAL CENTER,140119,IL,Heart_Faliure,722,1.0391,23.9,23.0,175,01-JUL-11,30-JUN-14
ST MARYS HOSPITAL,140166,IL,Pneumonia,323,0.987,16.1,16.3,51,01-JUL-11,30-JUN-14
NORTHWEST SPECIALTY HOSPITAL,130066,ID,Hip_Knee_Surgery,157,0.8957,3.6,4.0,23,01-JUL-11,30-JUN-14
SHARE MEDICAL CENTER,370080,OK,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
PUSHMATAHA COUNTY TOWN OF ANTLERS HOSPITAL,370083,OK,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
NORTHEASTERN HEALTH SYSTEM,370089,OK,Pneumonia,155,1.0129,17.5,17.3,28,01-JUL-11,30-JUN-14
O U MEDICAL CENTER,370093,OK,Chronic_Obstructive_Pulmonary,247,0.9896,17.7,17.9,43,01-JUL-11,30-JUN-14
O U MEDICAL CENTER,370093,OK,Hip_Knee_Surgery,157,1.1651,5.3,4.6,23,01-JUL-11,30-JUN-14
ALLIANCEHEALTH MIDWEST,370094,OK,Pneumonia,361,1.0677,19.0,17.8,73,01-JUL-11,30-JUN-14
SOUTHWESTERN MEDICAL CENTER,370097,OK,Heart_Faliure,90,0.9372,22.1,23.5,16,01-JUL-11,30-JUN-14
SEQUOYAH COUNTY-CITY OF SALLISAW HOSPITAL AUTHORIT,370112,OK,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
"ST JOHN MEDICAL CENTER, INC",370114,OK,Heart_Faliure,851,1.0502,21.9,20.8,189,01-JUL-11,30-JUN-14
MEMORIAL HOSPITAL OF TEXAS COUNTY,370138,OK,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
ST ANTHONY SHAWNEE HOSPITAL,370149,OK,Heart_Faliure,294,0.9593,18.5,19.3,52,01-JUL-11,30-JUN-14
PAULS VALLEY HOSPITAL AUTHORITY,370156,OK,Pneumonia,150,0.9475,14.3,15.1,18,01-JUL-11,30-JUN-14
PURCELL MUNICIPAL HOSPITAL,370158,OK,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
LONGVIEW REGIONAL MEDICAL CENTER,450702,TX,Hip_Knee_Surgery,333,0.9901,5.2,5.2,17,01-JUL-11,30-JUN-14
HOUSTON METHODIST ST JOHN HOSPITAL,450709,TX,Hip_Knee_Surgery,157,1.0327,4.5,4.3,23,01-JUL-11,30-JUN-14
HOUSTON METHODIST ST JOHN HOSPITAL,450709,TX,Pneumonia,212,0.9996,16.5,16.5,35,01-JUL-11,30-JUN-14
RIO GRANDE REGIONAL HOSPITAL,450711,TX,Chronic_Obstructive_Pulmonary,468,1.043,22.2,21.3,107,01-JUL-11,30-JUN-14
ST DAVID'S SOUTH AUSTIN MEDICAL CENTER,450713,TX,Chronic_Obstructive_Pulmonary,568,1.1692,23.4,20.0,144,01-JUL-11,30-JUN-14
CYPRESS FAIRBANKS MEDICAL CENTER,450716,TX,Acute_Myocardial_infarction,77,0.9634,16.8,17.4,11,01-JUL-11,30-JUN-14
CYPRESS FAIRBANKS MEDICAL CENTER,450716,TX,Heart_Faliure,136,0.9941,23.1,23.2,31,01-JUL-11,30-JUN-14
CYPRESS FAIRBANKS MEDICAL CENTER,450716,TX,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
CYPRESS FAIRBANKS MEDICAL CENTER,450716,TX,Pneumonia,162,0.988,17.8,18.0,28,01-JUL-11,30-JUN-14
METHODIST CHARLTON MEDICAL CENTER,450723,TX,Chronic_Obstructive_Pulmonary,567,0.9701,20.0,20.6,111,01-JUL-11,30-JUN-14
KNOX COUNTY HOSPITAL,450746,TX,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
PALESTINE REGIONAL MEDICAL CENTER,450747,TX,Hip_Knee_Surgery,157,1.0148,6.2,6.1,23,01-JUL-11,30-JUN-14
EAST TEXAS MEDICAL CENTER TRINITY,450749,TX,Pneumonia,95,1.0716,19.3,18.0,23,01-JUL-11,30-JUN-14
HAMILTON GENERAL HOSPITAL,450754,TX,Chronic_Obstructive_Pulmonary,121,1.1053,21.6,19.5,33,01-JUL-11,30-JUN-14
COVENANT HOSPITAL LEVELLAND,450755,TX,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
COVENANT HOSPITAL LEVELLAND,450755,TX,Pneumonia,75,0.9913,16.8,16.9,12,01-JUL-11,30-JUN-14
UT SOUTHWESTERN UNIVERSITY HOSPITAL-ZALE LIPSHY,450766,TX,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO,450771,TX,Chronic_Obstructive_Pulmonary,244,0.9291,18.1,19.4,39,01-JUL-11,30-JUN-14
TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHWEST F,450779,TX,Heart_Faliure,350,0.8681,17.4,20.1,53,01-JUL-11,30-JUN-14
TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHWEST F,450779,TX,Hip_Knee_Surgery,382,0.8897,4.2,4.7,14,01-JUL-11,30-JUN-14
"LAKEWAY REGIONAL MEDICAL CENTER, LLC",670079,TX,Heart_Faliure,157,0.9593,19.6,20.5,23,01-JUL-11,30-JUN-14
SETON MEDICAL CENTER HARKER HEIGHTS,670080,TX,Heart_Faliure,122,1.0038,23.6,23.5,29,01-JUL-11,30-JUN-14
BAYLOR EMERGENCY MEDICAL CENTER,670097,TX,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
EMIL J FREIREICH CANCER CENTER,670099,TX,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
EMIL J FREIREICH CANCER CENTER,670099,TX,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
J C BLAIR MEMORIAL HOSPITAL,390056,PA,Hip_Knee_Surgery,157,1.0392,5.0,4.8,23,01-JUL-11,30-JUN-14
J C BLAIR MEMORIAL HOSPITAL,390056,PA,Pneumonia,141,0.905,14.5,16.0,14,01-JUL-11,30-JUN-14
GRAND VIEW HOSPITAL,390057,PA,Acute_Myocardial_infarction,90,0.9738,18.2,18.7,15,01-JUL-11,30-JUN-14
GRAND VIEW HOSPITAL,390057,PA,Chronic_Obstructive_Pulmonary,191,0.9674,18.5,19.1,33,01-JUL-11,30-JUN-14
CARLISLE REGIONAL MEDICAL CENTER,390058,PA,Chronic_Obstructive_Pulmonary,243,0.9799,17.9,18.2,42,01-JUL-11,30-JUN-14
LANCASTER REGIONAL MEDICAL CENTER,390061,PA,Chronic_Obstructive_Pulmonary,108,1.0112,19.7,19.4,22,01-JUL-11,30-JUN-14
NASON HOSPITAL,390062,PA,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
NASON HOSPITAL,390062,PA,Pneumonia,157,0.912,12.7,13.9,23,01-JUL-11,30-JUN-14
UPMC HAMOT,390063,PA,Acute_Myocardial_infarction,555,0.9918,15.4,15.5,85,01-JUL-11,30-JUN-14
GROSSMONT HOSPITAL,50026,CA,Pneumonia,487,1.0278,17.3,16.8,86,01-JUL-11,30-JUN-14
HEART OF LANCASTER REGIONAL MEDICAL CENTER,390068,PA,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
LOCK HAVEN HOSPITAL,390071,PA,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
BRANDYWINE HOSPITAL,390076,PA,Pneumonia,259,1.0129,17.4,17.2,46,01-JUL-11,30-JUN-14
WAGONER COMMUNITY HOSPITAL,370166,OK,Chronic_Obstructive_Pulmonary,75,0.9929,15.3,15.4,11,01-JUL-11,30-JUN-14
HILLCREST HOSPITAL HENRYETTA,370183,OK,Pneumonia,157,0.956,14.3,14.9,23,01-JUL-11,30-JUN-14
"SOUTHWESTERN REGIONAL MEDICAL CENTER, INC",370190,OK,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
"SOUTHWESTERN REGIONAL MEDICAL CENTER, INC",370190,OK,Heart_Faliure,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
"LAKESIDE WOMEN'S HOSPITAL, A MEMBER OF INTEGRIS HE",370199,OK,Heart_Faliure,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
"SURGICAL HOSPITAL OF OKLAHOMA, LLC",370201,OK,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
HILLCREST HOSPITAL SOUTH,370202,OK,Pneumonia,202,0.9327,15.6,16.7,27,01-JUL-11,30-JUN-14
"OKLAHOMA SURGICAL HOSPITAL, LLC",370210,OK,Hip_Knee_Surgery,1414,0.6365,3.0,4.7,34,01-JUL-11,30-JUN-14
LINDSAY MUNICIPAL HOSPITAL,370214,OK,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
DOCTORS HOSPITAL TIDWELL,450803,TX,Heart_Faliure,63,1.012,25.8,25.5,17,01-JUL-11,30-JUN-14
TEXAS ORTHOPEDIC HOSPITAL,450804,TX,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
NORTHWEST HILLS SURGICAL HOSPITAL,450808,TX,Heart_Faliure,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
NORTHWEST HILLS SURGICAL HOSPITAL,450808,TX,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
NORTH AUSTIN MEDICAL CENTER,450809,TX,Acute_Myocardial_infarction,152,1.005,16.3,16.2,25,01-JUL-11,30-JUN-14
METHODIST SUGAR LAND HOSPITAL,450820,TX,Heart_Faliure,500,1.0277,23.3,22.6,118,01-JUL-11,30-JUN-14
LAS COLINAS MEDICAL CENTER,450822,TX,Acute_Myocardial_infarction,157,0.9882,15.0,15.2,23,01-JUL-11,30-JUN-14
CORNERSTONE REGIONAL HOSPITAL,450825,TX,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
CORNERSTONE REGIONAL HOSPITAL,450825,TX,Heart_Faliure,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
KELL WEST REGIONAL HOSPITAL,450827,TX,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
SURGERY SPECIALTY HOSPITALS OF AMERICA SE HOUSTON,450831,TX,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
"PHYSICIANS CENTRE,THE",450834,TX,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN,450840,TX,Pneumonia,105,1.0465,17.1,16.4,21,01-JUL-11,30-JUN-14
EL PASO SPECIALTY HOSPITAL,450845,TX,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
ST JOSEPH'S HOSPITAL,30011,AZ,Chronic_Obstructive_Pulmonary,271,0.9373,17.9,19.1,44,01-JUL-11,30-JUN-14
BAPTIST MEDICAL CENTER SOUTH,10023,AL,Heart_Faliure,558,1.0696,23.3,21.8,134,01-JUL-11,30-JUN-14
LAWRENCE MEDICAL CENTER,10059,AL,Heart_Faliure,66,1.0449,24.8,23.7,19,01-JUL-11,30-JUN-14
GRANDVIEW MEDICAL CENTER,10104,AL,Acute_Myocardial_infarction,307,0.8869,14.4,16.2,38,01-JUL-11,30-JUN-14
ABRAZO WEST CAMPUS,30110,AZ,Chronic_Obstructive_Pulmonary,188,1.0458,21.7,20.7,44,01-JUL-11,30-JUN-14
"FLORENCE HOSPITAL AT ANTHEM, LLC",30132,AZ,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
ENLOE MEDICAL CENTER,50039,CA,Heart_Faliure,461,1.0126,21.1,20.8,98,01-JUL-11,30-JUN-14
SUTTER SOLANO MEDICAL CENTER,50101,CA,Heart_Faliure,109,1.0556,22.8,21.6,28,01-JUL-11,30-JUN-14
WHITE MEMORIAL MEDICAL CENTER,50103,CA,Hip_Knee_Surgery,157,1.1221,7.2,6.4,23,01-JUL-11,30-JUN-14
PENN HIGHLANDS DUBOIS,390086,PA,Acute_Myocardial_infarction,297,0.9649,14.7,15.3,42,01-JUL-11,30-JUN-14
UPMC NORTHWEST,390091,PA,Pneumonia,280,1.0759,19.0,17.6,58,01-JUL-11,30-JUN-14
ST JOSEPH MEDICAL CENTER,390096,PA,Chronic_Obstructive_Pulmonary,353,0.9127,18.8,20.6,60,01-JUL-11,30-JUN-14
ST JOSEPH MEDICAL CENTER,390096,PA,Heart_Faliure,535,0.9861,23.1,23.5,123,01-JUL-11,30-JUN-14
LANCASTER GENERAL HOSPITAL,390100,PA,Chronic_Obstructive_Pulmonary,675,0.9812,18.4,18.8,123,01-JUL-11,30-JUN-14
MEMORIAL HOSPITAL,390101,PA,Acute_Myocardial_infarction,111,0.9438,15.3,16.2,14,01-JUL-11,30-JUN-14
UPMC ST MARGARET,390102,PA,Heart_Faliure,456,0.9038,19.9,22.0,85,01-JUL-11,30-JUN-14
KANE COMMUNITY HOSPITAL,390104,PA,Chronic_Obstructive_Pulmonary,99,0.946,18.0,19.0,14,01-JUL-11,30-JUN-14
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,PA,Chronic_Obstructive_Pulmonary,130,0.9741,20.7,21.2,25,01-JUL-11,30-JUN-14
MEADVILLE MEDICAL CENTER,390113,PA,Heart_Faliure,251,1.0918,20.7,19.0,57,01-JUL-11,30-JUN-14
MEADVILLE MEDICAL CENTER,390113,PA,Pneumonia,226,0.917,13.5,14.7,25,01-JUL-11,30-JUN-14
ARIA HEALTH,390115,PA,Hip_Knee_Surgery,293,1.1132,5.8,5.2,19,01-JUL-11,30-JUN-14
SUBURBAN COMMUNITY HOSPITAL,390116,PA,Chronic_Obstructive_Pulmonary,130,0.9652,19.6,20.3,23,01-JUL-11,30-JUN-14
OKLAHOMA HEART HOSPITAL,370215,OK,Chronic_Obstructive_Pulmonary,220,0.8992,20.2,22.5,37,01-JUL-11,30-JUN-14
"TULSA SPINE & SPECIALTY HOSPITAL, LLC",370216,OK,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
ONECORE HEALTH,370220,OK,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
ALLIANCEHEALTH SEMINOLE,370229,OK,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
ASANTE THREE RIVERS MEDICAL CENTER,380002,OR,Heart_Faliure,219,1.0368,21.0,20.2,48,01-JUL-11,30-JUN-14
ASANTE THREE RIVERS MEDICAL CENTER,380002,OR,Pneumonia,256,0.8806,12.9,14.6,25,01-JUL-11,30-JUN-14
PROVIDENCE ST VINCENT MEDICAL CENTER,380004,OR,Hip_Knee_Surgery,620,0.8587,3.5,4.1,19,01-JUL-11,30-JUN-14
LEGACY EMANUEL MEDICAL CENTER,380007,OR,Heart_Faliure,136,1.0217,21.1,20.7,30,01-JUL-11,30-JUN-14
LEGACY EMANUEL MEDICAL CENTER,380007,OR,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
MEMORIAL HERMANN KATY HOSPITAL,450847,TX,Hip_Knee_Surgery,213,1.0291,5.4,5.2,12,01-JUL-11,30-JUN-14
BAYLOR MEDICAL CENTER AT FRISCO,450853,TX,Heart_Faliure,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
SUGAR LAND SURGICAL HOSPITAL LLP,450860,TX,Hip_Knee_Surgery,157,1.1134,4.6,4.2,23,01-JUL-11,30-JUN-14
TEXAS SPINE AND JOINT HOSPITAL,450864,TX,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
TEXAS SPINE AND JOINT HOSPITAL,450864,TX,Heart_Faliure,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
SETON SOUTHWEST HOSPITAL,450865,TX,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
DOCTORS HOSPITAL AT RENAISSANCE,450869,TX,Chronic_Obstructive_Pulmonary,386,0.8868,18.0,20.2,61,01-JUL-11,30-JUN-14
BAYLOR SURGICAL HOSPITAL AT FORT WORTH,450880,TX,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
BAYLOR SCOTT AND WHITE MEDICAL CENTER CENTENNIAL,450885,TX,Heart_Faliure,127,1.0139,23.0,22.7,30,01-JUL-11,30-JUN-14
CENTRAL VERMONT MEDICAL CENTER,470001,VT,Chronic_Obstructive_Pulmonary,252,0.9104,17.2,18.9,37,01-JUL-11,30-JUN-14
UNIVERSITY OF VERMONT MEDICAL CENTER,470003,VT,Acute_Myocardial_infarction,1039,0.8727,13.0,14.9,128,01-JUL-11,30-JUN-14
UNIVERSITY OF VERMONT MEDICAL CENTER,470003,VT,Hip_Knee_Surgery,600,0.7536,3.5,4.7,16,01-JUL-11,30-JUN-14
BRATTLEBORO MEMORIAL HOSPITAL,470011,VT,Chronic_Obstructive_Pulmonary,65,1.0232,17.6,17.2,13,01-JUL-11,30-JUN-14
BRATTLEBORO MEMORIAL HOSPITAL,470011,VT,Pneumonia,136,0.9364,14.8,15.9,16,01-JUL-11,30-JUN-14
SOUTHWESTERN VERMONT MEDICAL CENTER,470012,VT,Chronic_Obstructive_Pulmonary,288,0.8748,18.1,20.7,43,01-JUL-11,30-JUN-14
WINCHESTER MEDICAL CENTER,490005,VA,Pneumonia,1009,1.122,17.8,15.9,187,01-JUL-11,30-JUN-14
UNIVERSITY OF VIRGINIA MEDICAL CENTER,490009,VA,Heart_Faliure,795,0.9897,22.3,22.6,177,01-JUL-11,30-JUN-14
JOHN RANDOLPH MEDICAL CENTER,490020,VA,Hip_Knee_Surgery,157,1.1532,5.1,4.4,23,01-JUL-11,30-JUN-14
"CENTRA  HEALTH, INC",490021,VA,Pneumonia,689,1.1,17.7,16.1,128,01-JUL-11,30-JUN-14
BRADFORD REGIONAL MEDICAL CENTER,390118,PA,Pneumonia,199,0.9187,15.3,16.7,25,01-JUL-11,30-JUN-14
MOSES TAYLOR HOSPITAL,390119,PA,Acute_Myocardial_infarction,157,0.9767,20.7,21.2,23,01-JUL-11,30-JUN-14
MOSES TAYLOR HOSPITAL,390119,PA,Heart_Faliure,300,0.9728,20.2,20.8,59,01-JUL-11,30-JUN-14
CONEMAUGH MINERS MEDICAL CENTER,390130,PA,Chronic_Obstructive_Pulmonary,157,0.9545,18.9,19.8,23,01-JUL-11,30-JUN-14
ST JOSEPH'S HOSPITAL,390132,PA,Chronic_Obstructive_Pulmonary,94,1.1574,24.8,21.4,34,01-JUL-11,30-JUN-14
ST JOSEPH'S HOSPITAL,390132,PA,Heart_Faliure,69,1.0991,25.0,22.8,23,01-JUL-11,30-JUN-14
MAIN LINE HOSPITAL BRYN MAWR CAMPUS,390139,PA,Heart_Faliure,720,0.9248,19.9,21.6,139,01-JUL-11,30-JUN-14
